,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
38,Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a,Warm Words in a Cold World (feat. Wale & Future),spotify:track:7MXMsxYGTcU0tD54EnBL9f,220521,True,Richer Than I Ever Been,53
39,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,t h e . c l i m b . b a c k,spotify:track:5lLNBIyjp72btcnrjBG751,306257,True,The Off-Season,67
40,Outkast,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,Aquemini,spotify:track:4V3N5LvUOh3yDPP16cwAhE,319240,True,Aquemini,58
41,Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop,Know Better,spotify:track:2M8ji4gKN8b9aLkCT6rNJY,198848,False,Wiz Got Wings,24
42,Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a,Wiggle (feat. DreamDoll),spotify:track:5tynriqAe4jL3wVUKbTKtJ,161525,True,Richer Than I Ever Been,50
43,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,Born Sinner (feat. James Fauntleroy),spotify:track:47A2jHhdcuOozYPYhttXPs,209360,True,Born Sinner (Deluxe Version),57
44,Benny The Butcher,spotify:artist:5Matrg5du62bXwer29cU5T,Corner,spotify:track:7qMXAGTEaDFQ2hkAmC9fCn,168000,True,Trust The Sopranos,32
45,Benny The Butcher,spotify:artist:5Matrg5du62bXwer29cU5T,Load Up,spotify:track:1365V6qsMpwxLS9IVMKHMR,147075,True,Trust The Sopranos,26
46,Wiz Khalifa,spotify:artist:137W8MRPWKqSmrBGDBFSop,The Kid Frankie Pt. 2,spotify:track:5N5zoOFM3MD3EV28N560Zv,194040,False,Wiz Got Wings,26
47,Nas,spotify:artist:20qISvAhX20dpIbOOzGK3q,Wave Gods,spotify:track:14246VCxRDGZHqlMlqWSz4,190261,True,Magic,69
48,Carly Rae Jepsen,spotify:artist:6sFIWsNpZYqfjUpaCgueju,Boy Problems,spotify:track:2YalDCU0tWxJfNdFPor3Rh,222280,False,Emotion,42
49,Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a,Made it Out Alive (feat. Blxst),spotify:track:3mWJNYOBWAHAdivbAoNbO3,218432,True,Richer Than I Ever Been,49
